tlb_page_size,tlb_entries,tlb_assoc,cycle_time,tlb_max_outstanding_walks,tlb_miss_latency,cache_line_sz,cache_assoc,cache_queue_size,tlb_hit_latency,pipelined_dma,cache_size,pipelining,cache_hit_latency,cache_bandwidth,tlb_bandwidth,success,cycle,power,area
4096,0,4,1,4,11,16,2,32,3,1,32768,0,1,16,2,True,74323,6.97492,224758.0
4096,0,4,1,4,14,32,1,128,1,1,16384,1,3,5,1,True,22525,5.15669,79527.9
4096,0,4,2,8,20,64,2,32,2,0,32768,0,3,5,2,True,78342,3.80865,201969.0
4096,0,4,3,8,10,64,1,128,2,1,16384,1,3,9,2,True,17181,2.06748,111980.0
4096,0,4,3,8,10,64,4,128,2,1,32768,0,3,5,1,True,77349,2.50229,95695.9
4096,0,4,3,8,13,16,2,32,4,1,131072,1,2,12,2,True,16468,15.1893,1153350.0
4096,0,4,3,8,19,32,16,32,3,1,131072,0,3,6,2,True,86935,11.6466,819860.0
4096,0,4,5,8,12,16,2,64,3,1,131072,0,4,8,1,True,96170,7.14606,447129.0
4096,0,4,5,8,14,16,1,64,3,0,16384,0,2,10,2,True,80334,1.53603,190980.0
4096,0,4,5,8,14,64,8,32,2,1,16384,0,4,7,2,True,86996,1.70099,125450.0
4096,0,8,1,4,18,16,2,32,3,1,131072,0,1,10,2,True,73962,17.2219,1145020.0
4096,0,8,1,4,20,64,2,64,3,0,131072,0,1,12,1,True,69480,14.5802,335707.0
4096,0,8,3,4,17,32,1,32,4,0,65536,1,1,15,2,True,13950,7.47283,396429.0
4096,0,8,3,8,11,16,1,128,3,0,65536,0,2,14,1,True,78580,4.6725,301804.0
4096,0,8,3,8,13,16,2,64,1,1,65536,0,4,13,1,True,78592,4.69011,299885.0
4096,0,8,3,8,15,32,1,64,4,0,65536,1,3,9,2,True,15862,6.91391,396429.0
4096,0,8,4,4,12,64,4,32,4,0,16384,0,4,15,2,True,106206,1.32199,104006.0
4096,0,8,4,8,17,16,8,128,1,1,32768,0,3,12,2,True,68906,3.49561,227995.0
4096,0,8,5,4,17,64,4,128,4,1,16384,1,3,4,1,True,16972,1.61789,62859.4
