tlb_page_size,tlb_entries,tlb_assoc,cycle_time,tlb_max_outstanding_walks,tlb_miss_latency,cache_line_sz,cache_assoc,cache_queue_size,tlb_hit_latency,pipelined_dma,cache_size,pipelining,cache_hit_latency,cache_bandwidth,tlb_bandwidth,success,cycle,power,area
4096,0,4,2,4,11,32,8,128,4,0,16384,1,1,6,2,False,False,False,False
4096,0,4,2,4,12,64,4,32,2,0,65536,1,4,12,2,False,False,False,False
4096,0,4,2,4,13,64,16,64,2,1,32768,0,4,5,1,False,False,False,False
4096,0,4,2,4,14,64,1,128,1,1,32768,0,4,14,2,False,False,False,False
4096,0,4,2,8,16,64,16,64,4,0,16384,1,3,8,2,False,False,False,False
4096,0,4,2,8,17,32,4,32,2,0,16384,1,1,5,2,False,False,False,False
4096,0,4,2,8,17,32,4,64,4,0,65536,0,4,11,2,False,False,False,False
4096,0,4,2,8,18,32,1,64,3,1,131072,0,3,6,2,False,False,False,False
4096,0,4,3,8,17,16,16,64,4,1,131072,0,3,15,1,False,False,False,False
4096,0,4,3,8,20,16,1,128,2,1,16384,0,1,10,2,False,False,False,False
4096,0,4,4,8,19,16,4,32,1,0,32768,0,3,16,1,False,False,False,False
4096,0,4,5,4,10,16,1,64,1,0,131072,0,2,16,1,False,False,False,False
4096,0,4,5,4,14,32,8,64,2,1,65536,1,2,13,1,False,False,False,False
4096,0,4,5,8,18,16,8,128,1,0,32768,1,1,7,1,False,False,False,False
4096,0,8,1,4,13,16,1,32,2,1,32768,0,3,5,2,False,False,False,False
4096,0,8,1,4,20,16,2,64,2,0,131072,1,4,5,2,False,False,False,False
4096,0,8,1,8,14,16,16,32,2,1,32768,0,2,4,1,False,False,False,False
4096,0,8,1,8,19,32,4,32,4,0,32768,1,3,10,1,False,False,False,False
4096,0,8,2,4,11,64,16,128,3,0,65536,0,2,7,1,False,False,False,False
4096,0,8,2,4,16,64,2,32,1,0,16384,1,1,10,2,False,False,False,False
4096,0,8,2,4,19,32,2,128,3,0,16384,0,3,13,1,False,False,False,False
4096,0,8,4,4,10,16,16,128,3,0,16384,0,2,6,1,False,False,False,False
