tlb_page_size,tlb_entries,tlb_assoc,cycle_time,tlb_max_outstanding_walks,tlb_miss_latency,cache_line_sz,cache_assoc,cache_queue_size,tlb_hit_latency,pipelined_dma,cache_size,pipelining,cache_hit_latency,cache_bandwidth,tlb_bandwidth,success,cycle,power,area
4096,0,4,1,4,18,32,8,64,4,0,16384,1,3,14,1,True,214682,8.95017,77530.0
4096,0,4,1,8,10,16,8,32,1,1,65536,0,2,12,1,True,671764,10.452,318248.0
4096,0,4,1,8,13,32,16,32,2,0,131072,0,1,14,2,True,637754,31.7111,819880.0
4096,0,4,1,8,14,64,16,32,2,0,65536,1,1,15,1,True,149842,24.7897,222646.0
4096,0,4,1,8,18,16,2,32,4,1,32768,1,3,5,1,True,241122,9.24917,117888.0
4096,0,4,3,8,18,16,1,128,3,0,65536,0,3,10,1,True,909233,4.47995,301824.0
4096,0,4,4,4,15,32,2,128,3,0,32768,0,3,6,2,True,890702,2.78591,275182.0
4096,0,4,4,8,11,32,16,128,4,0,16384,0,4,4,2,True,1076759,2.86409,170506.0
4096,0,4,5,8,15,32,8,32,1,0,131072,1,4,10,2,True,150631,12.3248,915931.0
4096,0,8,1,4,12,64,2,32,2,0,16384,0,1,9,2,True,624002,4.40676,103983.0
4096,0,8,1,4,15,32,16,128,4,0,32768,0,2,8,1,True,909277,7.31957,109690.0
4096,0,8,1,8,15,16,16,32,4,0,16384,0,1,16,1,True,856803,6.91225,101245.0
4096,0,8,2,8,13,64,4,64,4,0,32768,1,3,8,1,True,186696,6.13457,129595.0
4096,0,8,2,8,14,64,8,64,1,1,131072,1,1,11,2,True,117722,24.8708,759908.0
4096,0,8,3,4,12,16,4,128,3,1,65536,0,2,16,2,True,826998,5.90499,484715.0
4096,0,8,3,4,19,32,2,64,1,0,16384,1,3,11,1,True,157869,3.95912,83165.5
4096,0,8,3,8,16,64,1,32,2,1,16384,1,3,14,1,True,163345,3.74403,88336.7
4096,0,8,3,8,20,64,2,128,4,1,16384,1,3,15,1,True,185929,3.49826,85776.5
4096,0,8,4,4,11,64,4,128,3,1,32768,0,3,15,2,True,883965,2.68603,201628.0
4096,0,8,4,8,16,64,4,128,3,1,131072,1,3,5,1,True,172145,9.61223,403212.0
4096,0,8,5,4,14,16,2,64,2,1,16384,1,4,7,1,True,190927,2.55566,74739.2
4096,0,8,5,4,14,32,1,128,1,1,16384,1,4,11,2,True,153464,2.84334,135824.0
4096,0,8,5,4,16,32,8,128,3,0,131072,1,4,12,2,True,173863,11.5263,916888.0
4096,0,8,5,4,17,16,16,64,3,0,32768,1,3,15,1,True,189547,5.82935,184589.0
4096,0,8,5,8,10,32,16,128,1,1,32768,1,1,12,1,True,133985,6.29431,126342.0
4096,0,16,1,4,14,16,16,128,3,1,65536,1,3,4,1,True,231240,21.9978,218500.0
4096,0,16,1,4,20,16,4,64,4,0,32768,1,2,7,2,True,216650,13.5633,282434.0
4096,0,16,1,8,17,16,8,128,2,1,16384,1,1,4,2,True,186579,16.222,188437.0
4096,0,16,2,4,20,16,16,32,2,0,16384,0,4,8,2,True,924124,5.17514,213509.0
4096,0,16,2,8,19,16,8,128,1,1,65536,0,2,6,1,True,646072,6.90675,318248.0
4096,0,16,3,8,14,16,16,64,4,0,16384,1,1,9,2,True,168991,9.6713,221931.0
4096,0,16,4,4,16,32,8,64,3,0,16384,1,3,8,2,True,166441,4.49979,138324.0
4096,0,16,4,4,19,32,2,128,4,0,16384,1,1,10,2,True,152669,3.31996,128656.0
4096,0,16,4,4,20,64,4,64,1,0,32768,0,2,6,2,True,613979,3.18661,201628.0
4096,0,16,4,8,20,64,2,32,3,1,131072,1,1,10,1,True,148591,10.2392,362999.0
4096,0,16,5,4,15,64,16,128,1,0,65536,1,2,10,1,True,137689,7.73393,219966.0
4096,0,16,5,4,16,64,1,128,1,1,16384,1,2,13,1,True,144534,2.9366,91590.6
4096,4,4,1,4,12,16,16,128,1,0,32768,1,1,15,2,True,169604,33.7858,366211.0
4096,4,4,1,4,12,64,4,128,4,0,32768,0,1,16,2,True,805078,6.50278,201628.0
4096,4,4,1,8,14,16,16,64,3,1,131072,0,2,12,2,True,850178,22.7407,788529.0
4096,4,4,2,4,19,64,1,128,3,0,131072,1,4,5,2,True,174487,15.6903,743906.0
4096,4,4,2,8,16,32,16,32,2,1,32768,0,1,9,1,True,627006,5.7216,109690.0
4096,4,4,3,4,13,16,4,64,3,0,16384,0,2,12,2,True,820972,2.58576,172366.0
4096,4,4,4,4,16,64,8,128,3,0,16384,0,3,15,2,True,886251,1.94959,125470.0
4096,4,4,5,4,17,64,4,32,3,0,32768,0,2,13,1,True,793606,2.05711,95715.7
4096,4,4,5,4,20,64,16,64,3,1,131072,0,4,9,2,True,974623,9.23752,820081.0
4096,4,4,5,8,14,64,1,128,2,1,65536,0,2,9,2,True,707421,4.25188,388936.0
4096,4,4,5,8,16,64,1,32,2,0,65536,1,2,11,1,True,154775,5.33067,224204.0
4096,8,8,1,8,19,32,2,64,3,1,32768,0,2,14,2,True,820377,6.60169,275182.0
4096,8,8,1,8,20,64,2,128,1,0,65536,1,4,13,1,True,172773,13.9544,219350.0
4096,8,8,4,4,18,64,8,128,3,1,65536,0,4,5,2,True,974280,4.51268,356903.0
4096,8,8,4,4,20,64,16,32,1,1,32768,0,3,10,1,True,703712,3.16771,109681.0
4096,8,8,4,8,15,32,8,128,4,0,65536,0,3,7,2,True,981412,4.80334,401388.0
