tlb_page_size,tlb_entries,tlb_assoc,cycle_time,tlb_max_outstanding_walks,tlb_miss_latency,cache_line_sz,cache_assoc,cache_queue_size,tlb_hit_latency,pipelined_dma,cache_size,pipelining,cache_hit_latency,cache_bandwidth,tlb_bandwidth,success,cycle,power,area
4096,0,4,1,4,14,64,8,64,1,1,131072,0,3,4,1,True,401405,38.9441,478792.0
4096,0,4,1,4,19,16,4,64,3,0,65536,1,4,14,2,True,58678,191.757,822471.0
4096,0,4,2,4,16,64,1,64,2,1,16384,1,3,8,1,True,62962,72.6825,336105.0
4096,0,4,3,4,13,32,4,32,4,0,16384,1,1,11,2,True,53475,53.7656,383348.0
4096,0,4,3,4,17,32,4,128,4,0,16384,0,4,13,1,True,436562,8.77989,124935.0
4096,0,4,4,8,10,16,16,32,1,1,32768,1,4,6,1,True,54721,42.2023,435060.0
4096,0,4,5,8,20,16,16,64,4,1,131072,1,2,9,2,True,54524,42.8607,1027190.0
4096,0,8,1,8,11,32,1,32,1,0,16384,0,4,8,2,True,441329,29.7753,214677.0
4096,0,8,3,4,20,16,16,64,2,1,65536,1,4,13,1,True,55856,57.5809,484247.0
4096,0,8,4,4,11,16,1,32,4,1,16384,1,4,11,1,True,61019,35.9841,330045.0
4096,0,8,4,8,12,32,8,64,2,0,131072,1,4,4,2,True,54738,48.2259,1160580.0
4096,0,8,5,4,10,32,2,128,2,1,32768,1,1,7,1,True,54532,32.4634,356878.0
4096,0,8,5,4,16,64,16,128,1,1,131072,0,2,10,2,True,390242,12.6815,883872.0
4096,0,8,5,8,15,32,2,128,2,0,16384,0,2,10,2,True,401260,6.08896,182111.0
4096,0,16,1,4,10,64,1,128,3,1,131072,1,2,16,1,True,55154,206.709,663558.0
4096,0,16,2,4,12,16,2,64,4,0,65536,1,1,9,2,True,54112,90.9275,742553.0
4096,0,16,2,8,12,64,16,128,2,1,131072,1,3,5,1,True,54700,93.5196,593268.0
4096,0,16,2,8,19,64,4,32,3,1,32768,1,3,10,1,True,60683,75.9626,347620.0
4096,0,16,3,8,19,32,1,128,4,1,32768,1,1,11,1,True,54587,53.7788,371500.0
4096,0,16,4,4,18,64,8,32,4,1,65536,0,3,8,1,True,426436,8.88597,260758.0
4096,0,16,4,4,20,64,1,64,1,1,131072,1,2,11,1,True,55357,45.1883,564778.0
4096,0,16,4,8,16,64,4,64,1,1,16384,1,3,7,2,True,55416,38.4767,333116.0
4096,0,16,4,8,17,32,8,32,1,0,131072,0,4,4,2,True,408859,13.2754,971386.0
4096,0,16,5,4,14,16,4,32,2,1,65536,1,2,15,2,True,52402,37.3048,723381.0
4096,0,16,5,8,12,16,8,128,2,1,131072,1,3,11,2,True,53533,41.7093,1144580.0
4096,0,16,5,8,15,32,4,128,4,1,131072,1,1,10,2,True,53364,40.0925,1119250.0
4096,4,4,1,8,11,64,16,128,1,0,32768,1,3,4,1,True,60200,180.843,438127.0
4096,4,4,2,4,10,64,1,64,1,1,16384,1,2,16,2,True,61702,73.529,374309.0
4096,4,4,2,4,11,64,4,32,2,1,16384,0,2,12,1,True,403157,14.3526,126833.0
4096,4,4,2,4,20,64,8,64,4,0,131072,1,2,5,1,True,63213,80.8549,633277.0
4096,4,4,2,8,10,64,1,32,4,0,16384,1,2,15,2,True,64182,70.6281,356248.0
4096,4,4,2,8,18,16,8,32,3,0,131072,1,3,14,2,True,60480,89.3393,1187950.0
4096,4,4,4,4,20,16,16,128,2,0,65536,0,2,10,2,True,407877,11.1159,722602.0
4096,4,4,5,4,13,16,2,128,2,1,131072,1,4,10,1,True,59267,36.8039,686197.0
4096,4,4,5,8,11,64,4,128,3,1,65536,1,3,14,1,True,59862,31.0371,417399.0
4096,4,4,5,8,17,64,1,32,2,0,16384,0,3,6,2,True,427703,5.70561,167752.0
4096,8,8,1,4,12,64,4,32,1,1,32768,1,1,11,2,True,57541,187.552,530073.0
4096,8,8,1,4,17,64,8,64,1,0,65536,1,1,16,2,True,57541,191.921,685349.0
4096,8,8,1,4,19,32,16,128,4,1,32768,0,4,10,1,True,438739,31.7715,207110.0
4096,8,8,1,8,17,16,2,128,1,0,131072,1,1,5,2,True,53127,221.459,1482700.0
4096,8,8,1,8,20,64,2,32,2,1,131072,1,2,6,2,True,60139,190.392,1050540.0
4096,8,8,3,8,15,64,2,32,3,0,32768,0,1,6,1,True,400598,10.0527,175294.0
4096,8,8,4,4,13,16,4,64,1,0,16384,1,4,7,1,True,54741,39.776,325057.0
4096,8,8,4,4,20,32,4,128,4,1,32768,1,2,15,2,True,54602,41.2761,456052.0
4096,16,16,3,4,19,16,16,32,2,1,131072,1,1,12,1,True,52840,65.971,750771.0
4096,16,16,3,8,18,32,2,32,3,0,16384,0,3,10,2,True,419695,9.18706,186393.0
4096,16,16,5,4,17,32,8,128,4,0,65536,1,3,11,2,True,55717,34.5568,619172.0
4096,16,16,5,4,17,64,4,128,2,0,32768,0,3,10,1,True,408611,6.47187,159315.0
4096,16,16,5,8,11,64,1,64,3,1,131072,1,2,9,2,True,53417,39.0121,941976.0
4096,16,16,5,8,19,64,1,128,3,0,65536,1,2,6,1,True,54612,33.6174,414184.0
4096,8,4,1,4,15,64,2,128,3,0,65536,1,3,9,1,True,63314,171.71,517745.0
4096,8,4,1,8,12,16,8,128,1,0,131072,1,1,11,1,True,54487,216.102,800456.0
4096,8,4,1,8,12,64,4,64,2,1,131072,0,3,4,1,True,410097,38.0361,469432.0
4096,8,4,1,8,20,16,16,32,2,0,16384,1,3,15,2,True,56338,198.469,551074.0
4096,8,4,1,8,20,32,16,32,1,1,131072,1,4,11,2,True,54960,225.845,1157440.0
4096,8,4,2,4,11,64,8,64,2,0,65536,0,3,14,2,True,407958,17.1644,430619.0
4096,8,4,3,4,17,16,4,128,4,1,32768,1,3,6,2,True,55775,54.3888,527787.0
4096,8,4,3,4,18,64,4,32,3,0,65536,1,2,4,2,True,53589,57.6432,593405.0
4096,8,4,3,4,19,64,2,64,1,0,16384,0,2,12,1,True,395927,9.45244,121311.0
4096,8,4,3,8,18,64,1,32,1,1,16384,1,1,11,1,True,56953,50.3825,308041.0
4096,8,4,4,4,17,16,2,64,2,1,32768,1,1,11,2,True,51399,43.8948,469054.0
4096,8,4,5,4,16,64,2,32,1,1,16384,0,3,15,1,True,403661,5.84547,117029.0
4096,8,4,5,4,20,64,16,64,3,1,131072,1,3,9,1,True,58071,36.0743,565222.0
4096,16,8,1,4,19,16,16,32,3,1,16384,1,3,15,2,True,57244,195.425,551074.0
4096,16,8,2,8,10,64,16,64,1,0,65536,1,3,12,1,True,58690,83.3851,450628.0
4096,16,8,2,8,11,16,2,128,2,1,16384,0,1,13,1,True,396484,14.7118,137544.0
4096,16,8,3,4,10,32,4,64,2,1,65536,0,3,14,2,True,409142,12.13,552897.0
4096,16,8,3,8,19,32,1,128,4,0,32768,0,3,12,1,True,427406,9.60494,174028.0
4096,16,8,4,4,14,16,8,64,2,1,16384,1,2,9,2,True,52549,42.0823,419604.0
4096,16,8,5,4,11,16,1,64,1,1,65536,0,3,8,1,True,402454,8.26122,365423.0
4096,16,8,5,8,15,32,8,128,3,0,131072,1,2,15,1,True,54471,38.7776,711045.0
4096,32,16,1,4,10,32,8,32,3,0,65536,1,1,8,2,True,59589,187.685,739718.0
4096,32,16,1,4,11,16,16,32,1,1,65536,0,4,4,2,True,415224,37.5425,754997.0
4096,32,16,2,4,15,16,8,128,1,0,131072,0,4,7,2,True,411624,21.772,979443.0
4096,32,16,2,8,18,32,16,128,3,1,131072,1,1,8,2,True,55639,101.193,1083470.0
4096,32,16,3,4,14,64,16,128,2,1,32768,0,2,16,1,True,399814,10.5145,177563.0
4096,32,16,3,4,18,16,1,128,1,0,32768,1,2,11,1,True,53197,55.3736,359292.0
4096,32,16,5,4,17,32,4,64,4,1,16384,0,1,4,1,True,409328,5.86305,120653.0
4096,32,16,5,8,11,32,2,128,4,0,131072,0,3,6,2,True,425725,11.3997,934817.0
4096,12,4,1,4,12,64,8,32,1,1,65536,1,4,9,1,True,55258,197.061,524178.0
4096,12,4,1,8,15,16,4,128,4,0,32768,0,2,4,2,True,423945,32.8916,372197.0
4096,12,4,2,4,13,32,8,128,1,0,32768,1,4,16,1,True,54910,84.4287,365993.0
4096,12,4,2,4,15,16,16,64,2,1,32768,1,1,15,2,True,52088,95.4899,614482.0
4096,12,4,2,8,16,16,16,32,3,0,16384,1,4,6,1,True,57653,81.8678,358895.0
4096,12,4,2,8,16,64,1,32,3,0,131072,0,1,8,2,True,399193,20.4759,797524.0
4096,12,4,4,8,18,16,2,128,3,1,131072,0,4,10,1,True,428550,12.2357,512174.0
4096,12,4,4,8,20,16,1,32,4,1,32768,1,4,10,2,True,56837,40.0016,465713.0
4096,12,4,5,8,14,64,2,64,2,1,32768,0,1,11,1,True,391161,6.65969,171012.0
4096,12,4,5,8,14,64,4,64,1,1,16384,0,3,12,2,True,398984,6.07039,167817.0
4096,12,4,5,8,15,32,8,64,4,1,32768,1,3,9,1,True,56778,31.3556,347009.0
4096,24,8,1,8,17,16,4,128,4,0,32768,1,2,10,1,True,58173,186.486,501243.0
4096,24,8,2,4,15,64,2,64,4,0,131072,1,2,12,1,True,59975,84.6275,593661.0
4096,24,8,2,8,13,32,1,32,2,0,32768,1,3,16,2,True,53769,87.1938,502685.0
4096,24,8,3,4,11,16,4,32,3,0,65536,0,3,15,2,True,418906,12.3655,552788.0
4096,24,8,3,8,16,16,8,128,1,1,16384,0,4,6,2,True,410514,9.79178,243112.0
4096,24,8,3,8,19,64,1,128,1,0,32768,1,4,13,1,True,54664,53.2093,337635.0
4096,24,8,4,8,19,32,1,64,1,0,131072,0,2,15,1,True,392411,12.1812,512080.0
4096,24,8,4,8,19,32,4,128,2,1,32768,0,2,13,1,True,401035,7.96395,172254.0
4096,24,8,5,8,10,64,4,128,3,1,65536,0,3,8,1,True,417360,7.67265,257332.0
4096,24,8,5,8,15,32,8,64,1,1,16384,1,1,8,2,True,52250,33.5572,360389.0
4096,48,16,1,8,15,32,1,32,3,0,131072,0,3,10,1,True,420764,37.6417,544475.0
4096,48,16,3,4,15,32,16,128,4,1,131072,1,4,5,2,True,56676,65.0274,1050200.0
4096,48,16,3,8,18,16,4,32,1,1,131072,1,3,4,2,True,52646,65.9559,1397580.0
4096,48,16,4,4,11,32,8,32,1,0,32768,1,3,6,2,True,55284,40.9469,442828.0
4096,48,16,4,8,13,16,1,32,3,1,16384,1,1,5,2,True,54803,39.5677,435374.0
4096,48,16,4,8,18,32,16,128,2,1,65536,1,3,10,1,True,54629,43.5556,440322.0
4096,48,16,4,8,19,32,4,128,3,0,131072,0,3,14,1,True,418491,11.8008,508692.0
4096,48,16,5,4,14,32,4,64,2,1,16384,1,3,8,1,True,54592,31.7191,321526.0
4096,48,16,5,8,11,16,1,128,4,1,131072,0,2,9,1,True,419187,11.0063,510570.0
4096,16,4,1,4,12,16,4,32,2,1,131072,1,1,5,2,True,53831,218.928,1492400.0
4096,16,4,1,8,14,32,4,128,4,1,16384,0,4,4,1,True,438180,30.0842,154474.0
4096,16,4,2,4,10,32,1,64,4,1,131072,0,4,16,1,True,436524,18.6988,520578.0
4096,16,4,2,4,18,16,4,128,1,1,65536,0,1,4,2,True,385446,18.5551,558430.0
4096,16,4,2,8,15,16,1,128,3,0,131072,0,4,9,1,True,430395,19.5267,520494.0
4096,16,4,2,8,15,32,8,128,4,0,65536,0,3,4,2,True,427556,16.8311,475103.0
4096,16,4,2,8,19,16,4,32,1,1,16384,0,1,10,2,True,385458,15.5192,246081.0
4096,16,4,2,8,19,32,2,32,3,0,16384,1,4,9,1,True,59143,77.1394,345672.0
4096,16,4,3,8,17,32,2,128,2,1,65536,0,4,10,1,True,419040,11.1781,257291.0
4096,16,4,4,4,11,16,4,128,4,1,131072,1,3,16,1,True,57176,46.1261,687994.0
4096,16,4,4,4,13,64,16,32,1,1,16384,1,3,13,1,True,56672,38.9065,296729.0
4096,16,4,4,8,18,16,1,64,2,1,131072,1,2,8,1,True,53748,48.6116,691536.0
4096,16,4,5,4,10,16,4,32,2,0,65536,1,3,4,2,True,53660,36.5592,723381.0
4096,16,4,5,4,10,16,16,128,4,0,65536,0,4,4,2,True,435522,9.38653,721176.0
4096,16,4,5,4,12,64,1,32,1,0,131072,1,2,11,2,True,54126,38.4595,942168.0
4096,16,4,5,4,20,32,1,64,4,0,32768,1,2,15,1,True,55513,32.036,370618.0
