tlb_page_size,tlb_entries,tlb_assoc,cycle_time,tlb_max_outstanding_walks,tlb_miss_latency,cache_line_sz,cache_assoc,cache_queue_size,tlb_hit_latency,pipelined_dma,cache_size,pipelining,cache_hit_latency,cache_bandwidth,tlb_bandwidth,success,cycle,power,area
4096,0,4,1,4,14,16,1,32,4,1,16384,1,4,5,1,True,463740,4.36078,65368.5
4096,0,4,1,4,19,16,16,128,2,1,131072,0,3,11,2,True,366327,27.3163,789391.0
4096,0,4,1,4,20,16,2,128,1,1,32768,1,1,9,2,True,262908,11.8492,225542.0
4096,0,4,3,4,19,64,1,128,2,0,65536,0,2,13,1,True,333855,4.93321,191559.0
4096,0,4,4,4,14,16,16,64,2,1,32768,1,2,8,1,True,328750,4.17106,175296.0
4096,0,4,4,4,20,64,4,128,3,0,16384,0,2,12,2,True,366819,1.78644,104494.0
4096,0,4,4,8,10,64,2,32,2,1,32768,0,1,14,2,True,299895,3.58665,202457.0
4096,0,4,5,4,18,32,8,128,2,1,131072,0,1,13,1,True,299508,8.69174,462997.0
4096,0,4,5,8,18,32,4,128,3,1,32768,1,3,14,2,True,395027,2.98423,202106.0
4096,0,8,1,4,11,16,16,128,3,0,131072,0,2,15,2,True,366228,27.3217,789391.0
4096,0,8,2,4,16,32,16,64,1,1,131072,0,4,7,2,True,366164,18.5138,820348.0
4096,0,8,3,4,19,16,8,32,2,0,16384,0,1,8,2,True,299139,3.72551,175507.0
4096,0,8,3,8,13,64,8,128,3,0,16384,1,3,5,1,True,396144,2.211,58468.7
4096,0,8,3,8,17,64,1,128,4,1,32768,1,4,14,2,True,463262,3.26644,200219.0
4096,0,8,3,8,17,64,8,32,3,0,32768,0,4,7,2,True,434025,3.66828,203233.0
4096,0,8,4,4,16,32,2,128,3,0,131072,0,4,15,1,True,433576,7.92892,448062.0
4096,0,8,4,4,17,64,1,32,3,0,65536,0,1,14,2,True,333331,5.29343,389404.0
4096,0,8,4,8,13,16,4,128,1,0,131072,0,2,6,2,True,299056,11.281,1144850.0
4096,0,8,4,8,18,32,2,64,4,1,65536,1,3,8,1,True,428679,4.1181,190260.0
4096,0,8,5,8,20,64,1,64,4,1,16384,0,2,16,1,True,406410,1.42195,54351.7
4096,0,16,1,4,19,32,8,64,3,1,65536,1,2,12,1,True,362739,10.5952,238836.0
4096,0,16,1,8,16,64,1,32,3,0,131072,0,1,12,1,True,332762,18.9352,336741.0
4096,0,16,2,4,11,32,4,128,1,1,131072,0,1,14,1,True,265915,14.632,444517.0
4096,0,16,2,4,20,64,1,32,2,1,32768,1,4,4,2,True,397179,4.5683,200219.0
4096,0,16,2,8,17,16,16,32,4,0,32768,0,2,10,1,True,399529,5.73293,175296.0
4096,0,16,2,8,20,64,4,64,3,0,65536,1,3,13,2,True,395782,7.0611,356234.0
4096,0,16,3,4,10,16,8,64,3,1,16384,0,2,6,2,True,365686,3.25218,175507.0
4096,0,16,3,4,12,64,16,128,1,1,65536,0,2,16,1,True,300415,7.24402,193255.0
4096,0,16,3,4,14,32,4,32,3,0,65536,0,2,4,1,True,365914,5.16107,237995.0
4096,0,16,4,8,13,32,16,32,4,0,131072,0,3,5,2,True,433501,11.7585,820348.0
4096,0,16,4,8,18,16,8,128,2,0,32768,1,1,5,1,True,295816,3.57369,132488.0
4096,0,16,5,8,11,16,8,64,4,0,32768,1,3,16,1,True,427616,2.70364,132488.0
4096,4,4,1,8,11,64,1,64,4,1,32768,1,1,11,1,True,364478,6.45056,107414.0
4096,4,4,2,4,15,64,4,64,1,1,131072,0,1,5,1,True,266222,13.7698,372863.0
4096,4,4,2,4,16,16,1,128,4,0,32768,1,3,15,2,True,427844,4.81793,221615.0
4096,4,4,2,8,14,64,16,32,3,1,65536,1,4,6,1,True,429965,7.46523,193255.0
4096,4,4,3,4,10,16,8,64,3,1,16384,0,1,6,1,True,332279,2.76264,65676.9
4096,4,4,3,8,13,64,16,128,3,1,131072,0,1,4,2,True,333686,14.7464,820549.0
4096,4,4,4,4,10,64,2,128,1,1,32768,1,3,13,2,True,329387,3.40469,202457.0
4096,4,4,4,8,12,16,1,64,2,1,32768,0,2,12,1,True,332344,3.00525,106942.0
4096,4,4,5,4,20,64,4,64,1,0,32768,1,3,7,2,True,329218,3.09946,202096.0
4096,4,4,5,8,15,16,2,64,3,0,65536,1,2,12,2,True,361298,5.41242,467310.0
4096,8,8,1,4,17,16,8,64,2,1,131072,1,3,14,1,True,362559,21.2727,463371.0
4096,8,8,1,4,20,16,1,64,2,0,32768,1,2,9,1,True,329399,7.54732,107337.0
4096,8,8,1,8,10,64,2,32,2,1,65536,1,3,11,1,True,362723,9.27281,190736.0
4096,8,8,1,8,10,64,4,64,3,0,16384,1,4,15,1,True,428114,4.47153,54554.0
4096,8,8,1,8,12,16,8,128,1,0,32768,0,1,7,1,True,266631,10.2841,132882.0
4096,8,8,1,8,20,16,4,32,1,0,65536,1,4,4,1,True,362565,11.4239,318801.0
4096,8,8,2,4,13,64,4,64,4,1,16384,0,1,10,1,True,366595,2.89049,54159.9
4096,8,8,2,8,10,16,1,128,2,0,65536,0,3,7,2,True,366095,8.26122,469299.0
4096,8,8,3,4,12,64,8,32,4,0,65536,1,2,10,2,True,395635,5.87921,357371.0
4096,8,8,3,4,16,64,8,128,3,1,16384,0,4,15,1,True,434037,2.0817,58468.7
4096,8,8,3,4,20,32,8,32,4,1,32768,0,4,9,1,True,466853,2.97201,109385.0
4096,8,8,5,8,15,64,16,32,4,0,65536,1,4,6,2,True,460964,6.58351,513230.0
4096,16,16,1,4,15,64,2,64,3,1,131072,1,1,8,2,True,328722,19.6963,722953.0
4096,16,16,1,4,20,32,4,32,2,1,32768,0,3,7,2,True,366227,8.67088,202500.0
4096,16,16,1,8,15,16,4,32,2,0,16384,1,2,7,1,True,329977,6.14171,65112.8
4096,16,16,1,8,19,64,8,128,4,0,131072,1,2,15,2,True,394717,18.1483,748712.0
4096,16,16,2,4,15,64,2,64,3,0,16384,0,4,15,1,True,434859,2.47229,54279.8
4096,16,16,2,4,19,32,2,64,4,0,32768,1,2,7,2,True,394629,4.99744,275650.0
4096,16,16,2,8,17,64,2,64,4,1,131072,0,4,16,1,True,468255,9.76382,336479.0
4096,16,16,4,8,11,64,16,64,1,0,65536,0,2,13,1,True,300011,6.09944,193255.0
4096,16,16,5,4,11,64,4,32,4,0,32768,1,3,16,2,True,427949,2.74823,202096.0
4096,16,16,5,8,15,64,8,32,1,1,65536,0,4,6,2,True,366602,4.8884,357371.0
4096,16,16,5,8,16,16,16,128,2,0,65536,1,3,15,1,True,361787,5.39581,209206.0
4096,8,4,1,4,12,64,1,32,2,0,16384,0,4,9,1,True,410620,4.38614,54745.9
4096,8,4,1,4,16,16,16,32,3,1,131072,0,4,14,1,True,433066,19.6637,466162.0
4096,8,4,1,4,19,16,2,128,3,1,16384,0,2,7,2,True,366323,7.31606,170570.0
4096,8,4,2,4,16,64,4,32,2,1,32768,0,3,14,2,True,366722,4.99337,202096.0
4096,8,4,2,8,17,32,2,32,3,1,65536,1,4,10,1,True,428067,5.59369,190260.0
4096,8,4,3,4,18,16,16,128,4,0,131072,0,2,12,2,True,399313,13.4352,788997.0
4096,8,4,3,8,17,64,8,128,4,0,131072,0,2,16,1,True,400585,8.9667,382223.0
4096,8,4,3,8,18,16,1,32,4,0,131072,0,1,12,2,True,365710,11.5333,1148070.0
4096,8,4,3,8,19,16,2,32,3,0,65536,0,1,12,1,True,332722,5.83296,300756.0
4096,8,4,4,4,15,32,4,32,3,0,32768,1,3,4,2,True,395257,3.30638,202106.0
4096,8,4,4,8,10,32,2,128,2,0,32768,0,3,15,2,True,366326,3.4561,275650.0
4096,8,4,4,8,12,64,16,64,2,1,65536,1,1,14,2,True,296343,9.41078,513230.0
4096,8,4,4,8,19,16,1,128,4,1,131072,1,4,11,2,True,460261,9.5548,1148070.0
4096,8,4,5,4,14,16,2,64,3,0,16384,1,1,15,1,True,328687,1.83595,64871.4
4096,16,8,1,4,15,32,1,32,1,0,32768,1,2,14,2,True,296392,10.0808,222091.0
4096,16,8,1,4,20,32,1,32,1,0,16384,0,4,10,1,True,371675,5.04512,65381.8
4096,16,8,1,8,13,32,16,64,4,1,65536,1,2,8,2,True,395704,17.1686,405967.0
4096,16,8,1,8,19,16,4,32,2,0,16384,1,4,5,2,True,395369,6.67661,173228.0
4096,16,8,2,8,18,64,4,128,2,0,131072,1,3,5,2,True,362566,12.2863,871225.0
4096,16,8,2,8,19,64,4,32,4,0,65536,0,2,16,1,True,400109,5.70591,194583.0
4096,16,8,3,8,13,32,1,128,4,1,131072,1,3,10,1,True,428148,8.9469,447906.0
4096,16,8,3,8,16,16,16,32,2,1,131072,0,3,11,2,True,365939,13.9924,788997.0
4096,16,8,4,8,11,64,1,64,3,0,65536,0,3,8,1,True,400177,4.01659,191559.0
4096,16,8,4,8,14,16,4,32,3,1,16384,0,2,4,1,True,365696,2.02786,64718.7
4096,16,8,5,4,15,32,8,128,4,1,131072,0,1,11,2,True,366421,9.1025,906637.0
4096,16,8,5,8,19,16,1,32,3,1,131072,1,4,7,1,True,427919,8.04191,447821.0
4096,32,16,2,8,19,64,1,64,4,1,16384,0,3,13,1,True,444407,2.38458,54351.7
4096,32,16,3,8,13,64,4,128,1,1,32768,1,3,4,1,True,330270,3.25213,96566.6
4096,32,16,4,8,10,64,2,64,4,0,32768,1,2,13,2,True,395219,3.09599,202457.0
4096,32,16,5,4,11,32,2,32,1,1,131072,0,1,16,2,True,265837,9.708,871494.0
4096,32,16,5,4,13,32,8,64,1,0,65536,0,3,15,1,True,332715,4.46075,238442.0
4096,32,16,5,8,14,32,2,32,2,1,131072,1,2,12,2,True,329090,9.0048,871494.0
4096,32,16,5,8,17,64,1,128,4,0,16384,1,3,13,1,True,435216,1.37259,54351.7
4096,12,4,1,8,18,64,2,64,3,0,131072,1,4,4,1,True,428200,15.7769,336873.0
4096,12,4,2,8,17,16,2,128,3,1,16384,0,3,13,2,True,399295,3.89694,170176.0
4096,12,4,4,8,10,64,16,64,1,1,65536,0,3,9,1,True,333417,5.75355,193255.0
4096,12,4,4,8,16,16,2,64,4,0,131072,1,2,16,1,True,394644,8.95374,447999.0
4096,12,4,4,8,16,16,8,32,4,0,65536,0,2,13,1,True,399221,5.06315,319099.0
4096,12,4,5,4,13,32,1,32,1,1,65536,0,3,16,1,True,332714,4.15539,191461.0
4096,12,4,5,4,16,16,1,32,3,1,65536,1,2,12,2,True,361307,5.39603,469299.0
4096,12,4,5,8,11,32,16,128,1,0,32768,0,3,14,1,True,332802,3.43435,94290.1
4096,24,8,1,4,12,32,4,32,3,0,16384,0,4,13,1,True,433555,4.5906,58298.8
4096,24,8,1,4,15,64,4,128,1,0,16384,1,3,11,1,True,329833,5.59992,54554.0
4096,24,8,2,4,13,64,16,128,3,1,16384,0,1,16,1,True,333222,5.12006,73413.4
4096,24,8,3,4,13,16,4,64,3,0,32768,0,4,12,2,True,432683,4.04778,275054.0
4096,24,8,3,8,10,16,16,32,1,1,16384,1,2,6,1,True,296216,4.29598,102096.0
4096,24,8,3,8,20,32,8,64,3,0,65536,1,4,12,1,True,428238,4.9646,238442.0
4096,24,8,4,4,10,64,4,128,1,1,32768,1,1,4,1,True,263842,3.13322,96566.6
4096,24,8,4,4,18,32,4,32,1,0,32768,1,2,9,1,True,296907,3.09099,108080.0
4096,24,8,4,4,20,64,16,32,4,1,16384,1,3,13,2,True,428289,3.88002,182042.0
4096,24,8,5,8,18,32,1,64,1,1,65536,1,4,7,1,True,362576,4.03091,191461.0
4096,48,16,1,8,15,16,4,32,4,1,16384,1,1,12,1,True,362127,5.67037,65112.8
4096,48,16,1,8,18,16,1,32,1,1,32768,0,4,15,2,True,366378,8.8663,222009.0
4096,48,16,2,4,16,64,8,64,4,1,131072,1,1,10,2,True,362420,12.5596,748318.0
4096,48,16,3,8,20,64,1,32,3,0,65536,0,3,7,2,True,400634,5.55401,389404.0
4096,48,16,4,4,19,64,4,64,4,0,65536,0,3,11,2,True,433604,4.84613,356234.0
4096,48,16,5,4,16,16,1,128,3,0,65536,1,4,11,2,True,427433,5.09388,469299.0
4096,48,16,5,8,20,16,8,64,4,1,32768,1,4,6,2,True,460301,3.23275,228483.0
4096,16,4,1,4,11,32,2,64,3,1,131072,0,1,4,1,True,332703,20.4106,448456.0
4096,16,4,1,4,20,16,8,64,4,1,131072,1,3,12,2,True,428262,19.9658,906590.0
4096,16,4,1,8,17,64,1,128,4,0,16384,0,3,16,2,True,444171,3.6772,104823.0
4096,16,4,2,4,13,16,2,128,1,0,131072,0,4,8,2,True,366152,14.0216,1145410.0
4096,16,4,2,4,16,32,2,32,1,0,65536,1,1,15,2,True,262803,9.31663,387591.0
