tlb_page_size,tlb_entries,tlb_assoc,cycle_time,tlb_max_outstanding_walks,tlb_miss_latency,cache_line_sz,cache_assoc,cache_queue_size,tlb_hit_latency,pipelined_dma,cache_size,pipelining,cache_hit_latency,cache_bandwidth,tlb_bandwidth,success,cycle,power,area
4096,0,4,1,4,15,32,16,128,4,0,131072,0,3,12,1,True,194084,51.5423,514011.0
4096,0,4,1,8,17,32,8,128,1,0,32768,1,2,9,1,True,30711,164.231,723752.0
4096,0,4,2,4,10,32,16,64,3,0,16384,0,2,9,2,True,169895,21.4577,269135.0
4096,0,4,2,8,10,16,1,64,2,0,65536,1,2,15,1,True,37928,63.442,648129.0
4096,0,4,3,8,14,32,8,32,3,0,32768,1,4,5,1,True,29179,47.7215,532923.0
4096,0,4,4,4,13,16,2,64,4,0,32768,1,1,9,2,True,19941,59.7167,680006.0
4096,0,4,4,4,19,32,4,32,2,1,16384,1,3,10,1,True,30163,33.3258,566036.0
4096,0,4,5,4,12,16,1,64,1,0,65536,0,3,9,1,True,164051,9.79078,386838.0
4096,0,4,5,4,13,32,16,32,4,1,16384,0,2,7,2,True,179523,8.98737,255903.0
4096,0,4,5,4,19,32,2,64,4,0,16384,1,4,11,1,True,29426,27.2196,507201.0
4096,0,8,1,4,17,16,1,32,1,1,65536,1,3,15,2,True,26305,234.6,1130580.0
4096,0,8,1,4,20,32,1,32,3,1,131072,0,4,5,2,True,188696,49.8159,1003540.0
4096,0,8,1,8,18,64,8,128,3,0,131072,1,2,15,1,True,26050,219.267,1183020.0
4096,0,8,3,8,10,32,2,64,2,0,131072,1,2,7,1,True,30072,58.1597,832841.0
4096,0,8,3,8,17,16,16,64,4,1,131072,1,1,16,2,True,19969,141.843,1261160.0
4096,0,8,3,8,19,16,1,64,3,1,65536,0,2,16,2,True,168217,15.7725,559746.0
4096,0,8,4,8,18,64,2,32,3,0,16384,1,3,16,2,True,16388,57.043,826276.0
4096,0,8,5,4,12,64,16,64,1,0,65536,1,1,13,2,True,13922,88.8654,1187900.0
4096,0,8,5,4,20,16,8,128,1,0,32768,0,3,14,2,True,157924,9.79187,313220.0
4096,0,8,5,8,15,32,1,128,1,1,65536,0,1,5,1,True,142543,10.0809,275815.0
4096,0,8,5,8,18,16,4,128,3,1,65536,1,3,11,2,True,20020,55.5274,935074.0
4096,0,16,1,4,14,32,2,128,3,0,65536,1,3,4,2,True,17638,315.206,1275450.0
4096,0,16,1,4,17,64,16,32,2,1,32768,0,4,10,2,True,178007,47.8636,384827.0
4096,0,16,1,8,18,32,16,64,3,1,131072,0,2,14,1,True,173645,56.5549,514011.0
4096,0,16,3,4,13,16,4,128,1,1,65536,0,2,15,1,True,153860,15.4935,408280.0
4096,0,16,3,4,20,64,2,32,4,0,131072,0,2,11,2,True,177786,18.8866,813198.0
4096,0,16,3,8,15,32,4,64,2,0,131072,0,4,14,2,True,178168,19.884,961651.0
4096,0,16,3,8,16,64,8,32,2,0,32768,1,1,11,2,True,13832,101.34,933136.0
4096,0,16,3,8,19,32,2,128,2,1,16384,0,4,13,1,True,230454,7.73241,154940.0
4096,0,16,4,4,15,64,16,32,4,0,32768,0,4,6,1,True,203115,8.96681,196789.0
4096,0,16,4,4,20,32,8,128,2,1,16384,1,1,5,1,True,30093,32.9429,424343.0
4096,0,16,4,8,12,16,2,128,2,0,32768,0,4,4,2,True,178388,9.79477,311787.0
4096,0,16,4,8,18,64,4,32,1,0,131072,1,1,12,2,True,13983,88.8856,1523830.0
4096,0,16,4,8,19,32,1,128,4,1,131072,0,4,5,2,True,198641,15.1025,960351.0
4096,0,16,4,8,20,32,2,64,4,1,32768,1,2,5,2,True,15811,67.5694,873647.0
4096,0,16,5,4,14,32,4,128,1,0,16384,0,1,5,1,True,168411,6.47716,142260.0
4096,4,4,1,4,11,16,8,128,3,1,32768,1,1,9,1,True,43396,123.73,544313.0
4096,4,4,1,4,20,16,4,64,4,0,32768,0,1,13,2,True,212727,33.948,404886.0
4096,4,4,1,8,10,32,16,128,1,0,65536,1,4,4,1,True,32054,191.497,749628.0
4096,4,4,1,8,15,16,8,64,2,1,65536,1,1,13,2,True,26190,251.325,1115630.0
4096,4,4,2,4,18,64,16,128,4,1,16384,1,4,11,1,True,28561,76.7194,758644.0
4096,4,4,2,8,14,32,1,32,3,0,16384,1,4,5,2,True,19899,99.2916,820984.0
4096,4,4,2,8,20,32,1,32,2,1,131072,1,1,16,2,True,16856,157.853,1559180.0
4096,4,4,3,8,11,16,1,128,2,1,32768,1,4,8,1,True,38566,37.3161,418204.0
4096,4,4,4,8,15,64,4,128,4,1,65536,1,4,14,1,True,27334,39.4648,723359.0
4096,4,4,4,8,16,16,2,32,3,0,131072,0,4,16,1,True,230860,13.4282,534064.0
4096,4,4,5,4,13,16,2,128,1,0,32768,0,4,7,1,True,203283,6.58896,192375.0
4096,4,4,5,4,18,64,4,64,1,1,65536,1,1,4,1,True,27972,31.4788,656383.0
4096,4,4,5,4,20,64,4,32,2,1,131072,0,3,5,1,True,217921,10.994,457218.0
4096,4,4,5,8,12,16,1,32,2,0,16384,1,1,5,1,True,39583,21.4894,417191.0
4096,4,4,5,8,17,32,1,32,4,1,65536,0,1,16,2,True,204095,9.06164,474190.0
4096,4,4,5,8,18,16,2,128,2,0,16384,1,2,10,1,True,40304,21.3605,416463.0
4096,4,4,5,8,20,32,8,32,1,1,65536,1,3,12,2,True,16858,60.9561,968346.0
4096,8,8,1,4,15,64,8,32,4,1,65536,1,3,8,2,True,14015,400.975,1648920.0
4096,8,8,1,4,16,32,1,128,1,0,32768,0,4,12,2,True,168259,40.5885,351719.0
4096,8,8,1,4,19,64,8,64,4,0,65536,0,2,11,2,True,177995,45.5967,487394.0
4096,8,8,1,8,19,32,8,32,4,1,32768,0,1,5,1,True,173625,37.4518,238834.0
4096,8,8,2,4,12,32,1,32,3,1,32768,0,3,10,1,True,183561,15.1137,204584.0
4096,8,8,2,4,13,32,2,128,1,0,131072,1,2,13,1,True,29555,87.0468,847713.0
4096,8,8,2,4,15,16,2,64,4,0,131072,0,3,10,2,True,188780,27.0745,1243380.0
4096,8,8,2,4,15,64,2,64,3,1,32768,0,3,9,1,True,182558,15.0451,205850.0
4096,8,8,2,4,18,32,1,128,3,1,16384,0,4,8,2,True,246589,10.8422,215695.0
4096,8,8,3,4,10,32,4,128,4,0,131072,0,1,4,2,True,167903,20.679,961651.0
4096,8,8,3,8,12,16,4,32,3,1,16384,0,1,6,1,True,190864,9.42547,154592.0
4096,8,8,4,4,17,64,8,128,3,1,32768,0,3,14,1,True,182634,8.39887,183509.0
4096,8,8,4,4,18,16,8,128,4,0,32768,0,2,6,2,True,178416,10.64,315122.0
4096,8,8,5,4,18,32,2,128,1,0,16384,0,3,10,1,True,202241,5.53069,149231.0
