tlb_page_size,tlb_entries,tlb_assoc,cycle_time,tlb_max_outstanding_walks,tlb_miss_latency,cache_line_sz,cache_assoc,cache_queue_size,tlb_hit_latency,pipelined_dma,cache_size,pipelining,cache_hit_latency,cache_bandwidth,tlb_bandwidth,success,cycle,power,area
4096,0,4,1,8,18,64,8,64,2,0,16384,1,2,14,1,True,34682,102.774,1063850.0
4096,0,4,2,8,12,32,16,64,3,0,131072,0,4,16,1,True,45798,52.0192,837334.0
4096,0,4,2,8,16,32,8,64,1,1,16384,0,2,14,2,True,34122,49.8066,608865.0
4096,0,4,2,8,18,64,2,32,1,0,16384,1,4,15,1,True,33015,47.3538,872635.0
4096,0,4,5,4,12,32,4,32,2,1,131072,1,4,7,2,True,27241,37.4672,1737620.0
4096,0,4,5,8,19,16,1,128,4,1,65536,0,1,12,2,True,38601,22.8179,914300.0
4096,0,4,5,8,19,64,1,128,4,1,131072,0,2,16,2,True,37384,26.5749,1175220.0
4096,0,8,1,4,10,16,2,32,3,1,16384,0,1,5,2,True,45223,85.8904,895069.0
4096,0,8,1,8,11,16,2,32,4,1,16384,0,3,13,1,True,55068,66.9959,702995.0
4096,0,8,1,8,18,64,8,128,4,1,131072,0,3,7,2,True,39561,119.761,1388610.0
4096,0,8,2,4,10,32,2,128,4,0,65536,1,2,5,2,True,28067,67.273,1394450.0
4096,0,8,3,8,19,32,4,64,1,0,16384,0,1,10,2,True,31743,31.9851,565479.0
4096,0,8,4,4,17,32,1,128,1,1,131072,0,4,10,2,True,36546,32.5263,1301200.0
4096,0,8,5,4,11,64,2,32,1,0,16384,1,1,13,1,True,31546,21.3594,744529.0
4096,0,8,5,4,17,16,8,128,2,0,65536,0,4,5,2,True,38421,24.7585,931899.0
4096,0,8,5,8,10,32,8,32,4,0,32768,1,3,14,1,True,35064,20.6926,661979.0
4096,0,8,5,8,15,32,16,32,2,1,16384,1,4,15,2,True,27989,29.3701,852490.0
4096,0,8,5,8,15,64,8,32,4,1,131072,0,3,14,1,True,44787,22.5823,775450.0
4096,0,16,1,8,17,16,4,32,1,0,32768,1,3,8,1,True,44133,86.6221,909947.0
4096,0,16,2,4,17,32,1,128,1,1,32768,0,4,9,1,True,46747,34.7069,553258.0
4096,0,16,2,8,10,64,1,32,2,1,32768,0,3,10,1,True,46611,34.3437,559026.0
4096,0,16,2,8,11,32,2,64,4,1,65536,0,3,6,1,True,45518,38.7432,618077.0
4096,0,16,2,8,17,32,2,128,3,0,32768,0,1,13,2,True,34975,48.6523,758164.0
4096,0,16,3,4,15,16,4,64,3,0,16384,0,1,12,2,True,37256,30.8891,630055.0
4096,0,16,3,4,16,16,4,32,1,1,32768,1,4,7,1,True,35221,32.1718,715780.0
4096,0,16,3,4,16,64,1,64,4,1,16384,0,4,14,1,True,52604,19.9023,473271.0
4096,0,16,4,4,13,16,16,64,4,1,32768,1,4,8,2,True,30780,39.8005,1097610.0
4096,0,16,4,8,20,64,2,128,2,1,131072,0,4,5,1,True,42846,26.363,737497.0
4096,4,4,1,4,13,16,2,64,1,0,32768,1,2,15,2,True,34067,123.201,1521080.0
4096,4,4,1,8,12,32,4,32,2,0,32768,1,1,11,1,True,37156,101.305,1127290.0
4096,4,4,2,4,20,16,1,64,4,1,131072,1,3,10,1,True,41443,53.9309,1083890.0
4096,4,4,2,8,18,16,8,64,2,0,65536,1,3,6,2,True,31340,69.3478,1479110.0
4096,4,4,4,4,15,64,8,32,4,1,16384,0,2,8,2,True,41070,20.6542,554002.0
4096,4,4,4,4,20,16,2,64,4,1,32768,0,1,10,1,True,46432,19.6374,568539.0
4096,4,4,4,8,20,16,4,32,4,1,16384,0,1,8,2,True,41800,21.5996,611101.0
4096,4,4,5,4,16,16,4,128,3,0,65536,1,1,13,1,True,39032,22.2662,876726.0
4096,4,4,5,4,18,64,4,128,2,0,65536,0,2,15,1,True,45410,18.0259,635102.0
