tlb_page_size,tlb_entries,tlb_assoc,cycle_time,tlb_max_outstanding_walks,tlb_miss_latency,cache_line_sz,cache_assoc,cache_queue_size,tlb_hit_latency,pipelined_dma,cache_size,pipelining,cache_hit_latency,cache_bandwidth,tlb_bandwidth,success,cycle,power,area
4096,0,4,1,8,13,16,1,64,2,1,65536,1,4,9,1,True,8974,12.1749,309579.0
4096,0,4,2,4,17,64,4,128,1,0,131072,0,4,4,1,True,17013,9.86554,375556.0
4096,0,4,2,8,16,32,1,32,3,1,16384,1,2,7,1,True,7745,4.01349,74379.8
4096,0,4,3,4,18,32,1,32,1,1,131072,0,1,13,2,True,11054,11.6661,877171.0
4096,0,4,3,4,19,64,2,32,2,1,65536,1,1,14,1,True,6152,6.41381,199351.0
4096,0,4,4,8,15,64,2,128,3,1,65536,0,1,10,2,True,14802,5.11069,391340.0
4096,0,4,4,8,19,32,2,64,1,0,32768,1,4,13,2,True,7338,4.42444,285808.0
4096,0,4,5,4,10,64,16,64,2,0,16384,1,2,6,1,True,6855,3.41923,82231.3
4096,0,4,5,8,10,32,8,64,4,0,65536,0,3,15,2,True,20572,4.87165,405506.0
4096,0,8,1,4,13,32,2,32,3,0,16384,0,1,9,2,True,15129,5.08301,122438.0
4096,0,8,1,4,18,64,8,32,4,0,65536,1,1,5,1,True,7820,13.0194,206741.0
4096,0,8,2,4,17,64,1,128,4,0,131072,1,4,9,1,True,10051,10.3835,346313.0
4096,0,8,3,8,14,16,8,64,1,1,32768,0,1,5,2,True,11141,6.08319,232132.0
4096,0,8,4,4,15,16,16,32,3,0,32768,0,4,15,1,True,20938,3.71221,177989.0
4096,0,8,4,4,19,64,2,32,4,1,16384,1,1,4,1,True,7637,2.36854,63097.7
4096,0,8,5,4,10,32,1,32,1,1,16384,0,1,8,2,True,10989,2.02204,121184.0
4096,0,8,5,4,12,64,8,64,4,0,65536,0,4,7,1,True,22652,3.59072,199277.0
4096,0,8,5,4,14,16,2,32,2,0,16384,1,1,12,2,True,5860,3.57761,177463.0
4096,0,8,5,4,16,64,1,128,3,0,32768,0,4,10,1,True,20747,2.0392,109713.0
4096,0,8,5,8,14,16,4,32,1,1,65536,1,3,13,2,True,6653,7.08868,492853.0
4096,0,16,1,4,11,16,1,64,3,1,32768,1,2,5,2,True,7803,11.9808,228519.0
4096,0,16,1,8,17,16,2,32,4,1,131072,0,2,4,1,True,19463,15.5609,450692.0
4096,0,16,1,8,19,32,2,32,2,0,131072,1,2,13,2,True,6960,25.6075,882035.0
4096,0,16,2,4,13,32,16,128,3,0,131072,1,2,5,2,True,7387,29.1423,830506.0
4096,0,16,2,4,17,16,1,128,4,0,16384,0,4,4,2,True,22772,2.51371,195118.0
4096,0,16,3,8,10,64,8,128,2,1,16384,0,3,7,1,True,16942,2.22074,61161.6
4096,0,16,3,8,13,32,2,128,3,1,32768,0,4,8,1,True,20856,2.68378,110948.0
4096,0,16,3,8,15,16,16,64,3,0,131072,0,4,16,1,True,20958,9.89903,468460.0
4096,0,16,4,4,17,16,1,32,3,1,32768,1,2,8,1,True,7792,3.54169,113655.0
4096,0,16,4,8,14,64,2,32,4,0,65536,1,3,15,1,True,9203,4.47804,199160.0
4096,4,4,1,4,14,16,4,128,4,1,65536,1,2,5,2,True,8580,16.7886,492087.0
4096,4,4,1,8,10,16,4,128,2,0,32768,1,1,16,2,True,6316,15.9589,281958.0
4096,4,4,1,8,16,16,2,64,4,1,131072,0,4,6,2,True,23064,15.6706,1149060.0
4096,4,4,1,8,19,16,2,64,3,1,131072,1,1,5,2,True,7086,27.7876,1152320.0
4096,4,4,2,8,19,32,16,64,2,0,65536,0,1,13,2,True,13066,12.8448,409223.0
4096,4,4,2,8,20,32,1,128,2,1,65536,1,1,7,2,True,5905,11.206,399419.0
4096,4,4,4,8,16,32,4,128,1,1,16384,0,1,13,1,True,11246,2.37201,60597.6
4096,4,4,5,4,18,64,8,128,2,0,32768,1,1,6,1,True,6121,3.61409,106071.0
4096,4,4,5,8,17,64,16,32,1,1,16384,0,2,9,2,True,12878,4.06153,185692.0
4096,8,8,1,8,18,32,16,128,1,1,131072,1,1,9,2,True,5292,69.5747,830506.0
