tlb_page_size,tlb_entries,tlb_assoc,cycle_time,tlb_max_outstanding_walks,tlb_miss_latency,cache_line_sz,cache_assoc,cache_queue_size,tlb_hit_latency,pipelined_dma,cache_size,pipelining,cache_hit_latency,cache_bandwidth,tlb_bandwidth,success,cycle,power,area
4096,0,4,1,8,20,64,2,32,1,0,16384,0,2,11,1,True,291437,8.97716,55902.7
4096,0,4,2,8,13,32,16,64,4,0,65536,0,3,5,1,True,421856,10.2746,187704.0
4096,0,4,3,4,19,32,8,64,2,0,131072,1,2,5,1,True,249598,10.3029,473894.0
4096,0,4,3,4,19,64,16,64,1,0,131072,0,4,11,2,True,306297,20.8432,822068.0
4096,0,4,3,8,19,16,16,64,3,0,32768,0,1,4,1,True,320171,7.61243,176623.0
4096,0,4,4,4,10,16,8,32,4,1,131072,0,1,8,1,True,353131,11.605,464304.0
4096,0,4,4,4,16,16,4,64,1,0,32768,0,1,8,2,True,207573,7.10269,276573.0
4096,0,4,4,8,10,32,1,64,3,1,65536,0,3,12,1,True,396764,5.00894,192979.0
4096,0,4,4,8,12,16,16,32,1,1,16384,0,3,16,2,True,274783,7.35292,215496.0
4096,0,4,4,8,20,64,16,64,4,1,65536,1,3,9,2,True,333637,8.35505,529870.0
4096,0,4,5,8,14,64,2,64,3,1,131072,1,4,4,1,True,345714,6.87184,361732.0
4096,0,4,5,8,18,32,4,64,4,0,131072,1,2,9,2,True,299486,8.90712,882484.0
4096,0,8,1,8,20,16,4,128,1,0,65536,0,3,8,1,True,322460,17.2531,320030.0
4096,0,8,2,4,12,16,4,64,1,1,131072,1,2,5,2,True,200676,18.2763,1153450.0
4096,0,8,2,4,15,64,4,128,4,0,32768,0,4,6,2,True,407461,6.28598,203615.0
4096,0,8,2,8,13,16,4,128,1,0,65536,0,4,10,2,True,308780,12.6922,486702.0
4096,0,8,2,8,14,64,2,64,4,0,65536,1,2,9,2,True,300678,7.51389,407392.0
4096,0,8,3,4,12,16,16,64,3,1,16384,1,1,16,2,True,233580,7.43062,239422.0
4096,0,8,3,4,13,16,2,128,1,0,131072,0,3,9,2,True,275002,16.2168,1146930.0
4096,0,8,3,8,13,16,4,128,2,1,65536,1,2,15,1,True,251483,6.37755,328731.0
4096,0,8,3,8,16,32,8,128,2,1,32768,0,3,4,1,True,354333,4.62872,110713.0
4096,0,8,3,8,20,16,2,64,2,1,16384,1,2,15,2,True,233544,4.0851,179734.0
4096,0,8,4,4,15,64,1,64,1,0,16384,0,3,16,2,True,352019,2.30039,106330.0
4096,0,8,4,8,16,64,4,128,2,0,32768,0,4,16,2,True,339980,4.4051,203615.0
4096,0,8,4,8,19,32,8,128,1,1,16384,0,2,14,1,True,286963,3.28979,59802.0
